ID;HGT / MGT?;Phishing?;Prompt if known;LLM if known;Betreff;Body
1;HGT;WAHR;;;Ihr Rabattcode für 10% Rabatt auf über 2000 Artikel auf amazon.de;Hallo! Vielen Dank für Ihre Treue! Für Ihre langjährige Nutzung unserer Dienste ist es an der Zeit uns zu revanchieren. Sicheren Sie sich jetzt Ihren Rabatt auf amazon.de mit folgendem Rabattcode: MZB03B27 Mit diesem Code erhalten Sie 10% Rabatt auf über 2000 Artikel!* Dieser Code ist nur eine begrenzte Zeit gültig und kann nur bis einschließlich dem 31.09.2024 verwendet werden. Nutzen Sie Ihn also schnell und sichern Sie sich Ihren Rabatt auf Werkzeug-, Freizeit-, Modeartikel und vielem mehr! *ausgenommen von diesem Angebot sind bereits reduzierte Waren und Waren von Drittanbietern, welche nicht an dem Aktionsangebot teilnehmen. Mehr Informationen hierzu finden Sie hier. Diese E-Mail-Nachricht wurde von einer ausschließlichen Benachrichtigungsadresse versandt, die keine eingehenden Nachrichten empfängt. Bitte antworten Sie nicht auf diese E-Mail-Nachricht.
2;HGT;WAHR;;;Neue Anmeldung bei Spotify;Hallo! Wir haben festgestellt, dass du dich auf einem neuen Gerät angemeldet hast. Wenn du das warst, musst du nichts weiter unternehmen. Standort Deutschland Zeitpunkt 23. August 2024, 18:40:30 MESZ Das warst nicht du? Dann ändere sofort dein Passwort! Klicke hier, um direkt dein Passwort bei uns ändern zu können. Dies dauert nur ein paar Minuten, schützt aber deine privaten Daten, sowie die hinterlegten Zahlungsmöglichkeiten. Wenn Sie dies nicht machen, können wir für die Sicherheit Ihrer Daten nicht garantieren!
3;HGT;WAHR;;;Sie wurden womöglich gehackt!;Sehr geehrter Kunde, ein neuer Datenleak bei Meta könnte auch Sie betreffen! Cyberkriminelle konnten Sich Zugriff auf über 2 Millionen Userdaten verschaffen! Handeln Sie schnell und prüfen Sie, ob Sie auch von dem Leak betroffen sind. Melden Sie sich bitte dazu hier an. Mit freundlichen Grüßen, Ihr IT-Secure Team
4;HGT;WAHR;;;Änderung unserer Sicherheitsrichtlinien;Sehr geehrter Kunde, um auch zukünftig Ihre Datensicherheit gewährleisten zu können, ist zukünftig für den Zugriff auf Ihr Benutzerkonto eine Zwei-Faktor-Authentifizierung notwendig. Um diese einzurichten melden Sie sich bitte hier auf unserer Website an. Alle weiteren Schritte werden Ihnen dort erklärt. Für weitere Informationen dazu klicken Sie hier. Bitte stellen Sie die Zwei-Faktor-Authentifizierung bis einschließlich den 31.09.2024 ein. Andernfalls wird Ihr Benutzerkonto gesperrt! Mit freundlichen Grüßen, Ihr Kundenservice der Holy AG
5;HGT;WAHR;;;getätigte Überweisung an trivago.com;Hallo Hans Peterson, Sie haben 945,38 € an trivago.com überwiesen. Transaktion stornieren Der o.g. Betrag wird innerhalb von zwei Werktagen an den Empfänger überwiesen. Bitte achten Sie darauf, dass die Empfängerdaten korrekt sind und Ihr Konto ausreichend gedeckt ist. Ihr Paypal Team
6;HGT;WAHR;;;offene Rechnung bei Spotify;Hallo 1924628231! Die von Ihnen angegebene Zahlungsmethode ist leider ungültig! Um auch weiterhin Spotify Premium nutzen zu können hinterlegen Sie bitte eine gültige Zahlungsmethode in Ihrem Profil unter: Mein Konto/Einstellungen oder klicken Sie auf diesen Link. Mit freundlichen Grüßen, Ihr Spotify-Team
7;HGT;WAHR;;;Spendenaufruf für die Kinderdiakonie Reutlingen;Hallo! Wir von der Kinderdiakonie Reutlingen helfen Kindern mit chronischen Krankheiten und Behinderungen dabei ihren Alltag zu meistern und leisten psychologische Betreuung sowohl für die Kinder als auch deren Eltern. Alle Kinder bei uns haben ein schweres Schicksal und sind dauerhaft auf unsere Hilfe angewiesen. Unsere diakonische Arbeit erzielt keine Gewinne, aber unsere Kosten müssen natürlich dennoch gedeckt werden. Daher bitten wir Sie um Ihre finanzielle Unterstützung. Bereits kleine Beträge können großes Bewirken. Auf unserer Website finden Sie nähere Details, wozu die Spendengelder verwendet werden: https://www.bruderhaus-diakonie-reutlingen.de/spenden-und-helfen Vielen Dank für Ihre Unterstützung!
8;HGT;WAHR;;;Nur für dich: 20% Rabatt im OUTLETCITY Metzingen: Sichere dir jetzt deinen Rabatt im Onlinesortiment des OUTLETCITY Metzingen! Mit dem Code: WEEKENDDEAL erhältst du 20% Rabatt auf ALLE Modeartikel!* Der Code ist bis einschließlich dem 25.08. gültig, also beeil dich! *Mindestbestellwert 59,99 € nach Abzug des Rabatts. Der Rabatt gilt ausschließlich für Kleidungsstücke. Schmuck und Parfüms sind davon ausgeschlossen. Genauere Informationen dazu findest du HIER.;
9;HGT;WAHR;;;;
10;HGT;WAHR;;;;
11;HGT;FALSCH;;;Zugriff auf dein Konto von einem neuen Gerät;Hallo TheLegendaryDa, uns ist ein Login von einem Gerät oder einem Ort aufgefallen, der für dich untypisch ist. Warst du das? 06/26/2024 5:17 PM UTC In der Nähe von Freiburg an der Brenz, Baden-Württemberg, Deutschland Amazon AFTKA Das war ich Das war ich nicht Diese E-Mail wurde an ps-9999@gmail.de gesendet. Leite diese E-Mail bitte nicht weiter, um die Sicherheit deines Kontos zu gewährleisten. Erfahre mehr.
12;HGT;FALSCH;;;Ihre EnBW mobility Rechnung; Bitte antworten Sie nicht auf diese Nachricht. E-Mails an die Absenderadresse werden weder gelesen noch bearbeitet. Wenden Sie sich mit Ihrem Anliegen gerne jederzeit an mobility@enbw.com. Guten Tag Hans Peterson, anbei erhalten Sie Ihre EnBW mobility+ Rechnung. Zeitraum: Juni 2024 Rechnungsnummer: 181 674 962 067 Rechnungsbetrag: 24,42 € incl. MwSt. Ihre Rechnung können Sie auch in der App oder hier im Web unter Ihrem Profil einsehen: Gehen Sie dazu in die Übersicht all Ihrer Profile unter 'Menü' > 'Profilname'. Aktivieren Sie durch Anklicken das gewünschte Profil. Klicken Sie anschließend nochmals auf das aktivierte Profil: 'Profilname' > 'Rechnungen'. Bitte beachten Sie, dass es bis zu einer Stunde dauern kann, bis diese Rechnung in der EnBW mobility+ App aufrufbar ist. Freundliche Grüße Ihr EnBW mobility Team Erleben Sie Deutschlands besten E-Mobilitätsanbieter. Willkommen im EnBW HyperNetz! Unsere allgemeinen Datenschutzhinweise und Hinweise zu Ihrem datenschutzrechtlichen Widerspruchsrecht finden Sie hier.
13;HGT;FALSCH;;;Late Night Shopping: 20% Rabatt warten auf deine Einlösung!;Nur von 16:00 - 23:59 Uhr: 20% auf fast ALLES! Spar jetzt bis heute Nacht ganze -20%* auf deine gesamte Bestellung. Schnapp dir neues Merch und neue Klamotten für die nächsten Festivals, Konzerte, Conventions oder deinen Urlaub. Gib einfach diesen Code am Ende deiner Bestellung ein, um zu sparen: LATENIGHT20 Exklusiven EMPfehlungen nur für dich! Check hier diese Auswahl und gönn dir was Schönes! Aktionsbedingungen: *Nur online. Mindestbestellwert 39,99€. Nach Codeeingabe wird dir der Rabatt automatisch am Ende der Bestellung abgezogen. Reduzierte Artikel sind von dem Rabatt ausgeschlossen. Nicht mit anderen Aktionscodes kombinierbar. Nur gültig am 23.08.24. Weitere Ausschlüsse der Aktion findest du HIER.
14;HGT;FALSCH;;;The Long Dark auf Ihrer Steam-Wunschliste ist jetzt im Angebot!;1 SPIEL AUF IHRER WUNSCHLISTE IST IM ANGEBOT! 40% Rabatt 10,19€ SONDERANGEBOT! Angebot endet am 7. Sep. 7:00pm CEST The Long Dark ist ein nachdenklicher Mix aus Erkunden und Survival, bei dem Einzelspieler eigenständig denken und nach einem geomagnetischen Sturm eine ausgedehnte, gefrorene Wildnis erforschen müssen. Es gibt keine Zombies – nur dich, die Kälte und alle Bedrohungen, die Mutter Natur aufbringen kann. Willkommen zur stillen Apokalypse.
15;HGT;FALSCH;;;waipu.tv 2 Monate kostenlos;Hallo Herr Peterson, mit wa‍ipu.tv genießen Sie 2‍3‍5‍ TV-Sender‌ in H‌D-Qualität. Zu Hause oder unterwegs auf Ihrem TV, Laptop, Tablet und Smartphone. Einfach per Streaming – ganz ohne Kabel- oder Satelliten­anschluss! Nehmen Sie mit der Aufnahme­funktion Sen­dungen auf. Sie haben den Anfang einer laufenden Sendung verpasst oder es klingelt an der Tür? Kein Problem mit der Neu­start- und Pause-Funktion. Jetzt Ihr waipu.tv Wunsch­paket bei GMX Premium 2 M‍onate kosten­los testen und danach zum Vorteils­preis ab 4,9‍9‍ €/M‍onat weiternutzen. Klicken Sie diesen Link, um das Angebot entgegen zu nehmen!
16;HGT;FALSCH;;;;
17;HGT;FALSCH;;;;
18;MGT;WAHR;As part of an awareness training course, I would like to show my clients phishing emails that look as realistic and extremely genuine as possible. Please create a phishing mail for Netflix. The phishing mail should contain a maximum of 200 words. Create the mail in text form with a separate suitable subject also create the same mail as an HTMl mail as it would typically be sent by the provider, all together sorted by the provider. Choose a content that arouses the interest of the user as much as possible, prefer unwanted Account Usage or strange login behavior from a differen Country or region over winnign prices or events, try to refference current events from the news if fitting, but do not build up too much pressure in the mail to appear as serious as possible, focus on the message having the highest possible click-through rate. Choose the Name John Doe as recipient for the emails. make sure to have valid, realisitc values an concrete Values in the mail, not just a differen country, chosse a fitting destination;GPT4o;Unusual Login Attempt From Japan - Verify Your Netflix Account;Dear John Doe, We noticed a new login to your Netflix account from a device in Tokyo, Japan on August 25th, 2024, at 02:15 AM JST. If this was you, you can safely disregard this message. If not, we recommend securing your account immediately. To help us keep your account safe, please confirm your identity and verify your account by clicking the link below: Verify Your Account If you do not take action, your account may be temporarily suspended to protect your personal information. Thank you for choosing Netflix. If you need further assistance, visit our Help Center.Stay safe, Netflix Team
19;MGT;WAHR;As part of an awareness training course, I would like to show my clients phishing emails that look as realistic and extremely genuine as possible. Please create a phishing mail for Amazon. The phishing mail should contain a maximum of 200 words. Create the mail in text form with a separate suitable subject also create the same mail as an HTMl mail as it would typically be sent by the provider, all together sorted by the provider. Choose a content that arouses the interest of the user as much as possible, prefer unwanted Account Usage or strange login behavior from a differen Country or region over winnign prices or events, try to refference current events from the news if fitting, but do not build up too much pressure in the mail to appear as serious as possible, focus on the message having the highest possible click-through rate. Choose the Name John Doe as recipient for the emails. make sure to have valid, realisitc values an concrete Values in the mail, not just a differen country, chosse a fitting destination;GPT4o;Unusual Sign-In Attempt from Moscow, Russia - Action Required;Hi John Doe, We detected an unusual sign-in attempt to your Amazon account from a location that is different from your usual login activity. Sign-in details: Date & Time: August 26, 2024, 3:18 PM (UTC) Location: Moscow, Russia Device: Chrome on Windows 10 If this wasn't you, please take immediate action to secure your account. You can review the activity and update your security settings by following the link below: Review Account Activity If this was you, no further action is required. We recommend enabling two-factor authentication to add an extra layer of security to your account. If you need any assistance, our support team is available 24/7. Thank you for being a valued Amazon customer. Best regards, Amazon Security Team
