OriginLine,Prompt,Response
2,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Hello! Thank you for your sustained patronage! As a token of our gratitude we give you a 30% Discount with the following code: 2LOYALTY30. With this code you get a discount on over 2000 articles in our webstore!* The code is only temporary available so use it now. Click here to start your shopping! Thank you, YourAmazon Team *The Code is only active until 2024/09/30. Only articles of participating partners of amazon are included in this offer. Articles with already existing discounts are not included in this offer. For more detailed information visit here.",PLACEHOLDER
8,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 21% Machine; The Mail: Hello! Thank you for your sustained patronage! As a token of our gratitude we give you a 30% Discount with the following code: 2LOYALTY30. With this code you get a discount on over 2000 articles in our webstore!* The code is only temporary available so use it now. Click here to start your shopping! Thank you, YourAmazon Team *The Code is only active until 2024/09/30. Only articles of participating partners of amazon are included in this offer. Articles with already existing discounts are not included in this offer. For more detailed information visit here.",PLACEHOLDER
14,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Hello John D, we noticed a login on a new device. If it was truly you, you may ignore this mail and not do anything. Login happend in Germany, August 23, 2024, 18:40:30 CEST. It wasn't you? Click here to change your password now! If you don't change your password now we will can't ensure the safety of your private data such as your credit card number or adress!",PLACEHOLDER
20,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 0% Machine; The Mail: Hello John D, we noticed a login on a new device. If it was truly you, you may ignore this mail and not do anything. Login happend in Germany, August 23, 2024, 18:40:30 CEST. It wasn't you? Click here to change your password now! If you don't change your password now we will can't ensure the safety of your private data such as your credit card number or adress!",PLACEHOLDER
23,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Hello John D, we noticed a login on a new device. If it was truly you, you may ignore this mail and not do anything. Login happend in Germany, August 23, 2024, 18:40:30 CEST. It wasn't you? Click here to change your password now! If you don't change your password now we will can't ensure the safety of your private data such as your credit card number or adress!",PLACEHOLDER
26,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear Customer, a new leak happened on Meta and you might be affected! Cybercriminals managed to steal data from over 2 million users! Be quick and check if you are part of the victims! Click here to let us run  a check. Best Regards, your IT-Secure Team",PLACEHOLDER
29,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99.97% Human; The Mail: Dear Customer, a new leak happened on Meta and you might be affected! Cybercriminals managed to steal data from over 2 million users! Be quick and check if you are part of the victims! Click here to let us run  a check. Best Regards, your IT-Secure Team",PLACEHOLDER
32,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 0% Machine; The Mail: Dear Customer, a new leak happened on Meta and you might be affected! Cybercriminals managed to steal data from over 2 million users! Be quick and check if you are part of the victims! Click here to let us run  a check. Best Regards, your IT-Secure Team",PLACEHOLDER
35,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Dear Customer, a new leak happened on Meta and you might be affected! Cybercriminals managed to steal data from over 2 million users! Be quick and check if you are part of the victims! Click here to let us run  a check. Best Regards, your IT-Secure Team",PLACEHOLDER
38,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear Customer, to ensure your privacy and security of your data, we updated our security guidelines. From 2024/09/30 onwards, you will need to perform 2-step verification to log into your account. Please set up your verification device beforehand! Otherwise you will not be able to log in anymore! To set up your 2-step verification click here to access our webpage. All further steps are explained there. Yours Sinceresly, Your Amazon Support Team",PLACEHOLDER
